n01440764	テンチ/ Tinca tinca
n03947888	海賊/海賊船
n03950228	ピッチャー/水差し
n03954731	飛行機/大工の平面/木工プレーン
n03956157	プラネタリウム
n03958227	ビニール袋
n03961711	皿立て
n03967562	鋤/プラウ
n03970156	プランジ​​ャー/配管工のヘルパー
n03976467	ポラロイドカメラ/ポラロイドランドカメラ
n03976657	ポール
n03977966	警察バン/警察のワゴン/水田ワゴン/パトロールワゴン/ワゴン/黒マリア
n03980874	ポンチョ
n03982430	プールテーブル/ビリヤードテーブル/スヌーカーテーブル
n03983396	ポップボトル/ソーダボトル
n03991062	ポット/植木鉢
n03992509	ろくろ
n03995372	パワードリル
n03998194	祈り敷物/祈りマット
n04004767	プリンタ
n04005630	刑務所/刑務所の家
n04008634	発射/ミサイル
n04009552	プロジェクター
n04019541	パック/ホッケーパック
n04023962	サンドバッグ/パンチバッグ/パンチングボール/パンチボール
n04026417	財布
n04033901	クイル/羽ペン
n04033995	キルト/掛け布団/快適/パフ
n04037443	レーサー/レースカー/レーシングカー
n04039381	ラケット/ラケット
n04040759	ラジエーター
n04041544	ラジオ/無線
n04044716	電波望遠鏡/ラジオリフレクター
n04049303	天水桶
n04065272	RV車/ RV / R.V.
n04067472	リール
n04069434	レフレックスカメラ
n04070727	冷蔵庫/アイスボックス
n04074963	リモートコントロール/リモート
n04081281	レストラン/飲食店/飲食店/飲食店
n04086273	リボルバー/ 6郡/ 6シューター
n04090263	ライフル
n04099969	ロッキングチェア/ロッカー
n04111531	焼肉料理店
n04116512	消しゴム/ゴム/消しゴム
n04118538	ラグビーボール
n04118776	ルール/定規
n04120489	ランニングシューズ
n04125021	安全な
n04127249	安全ピン
n04131690	saltshaker /塩シェーカー
n04133789	サンダル
n04136333	サロン
n04141076	サックス/サクソフォン
n04141327	鞘
n04141975	スケール/計量機
n04146614	スクールバス
n04147183	スクーナー
n04149813	スコアボード
n04152593	画面/ CRT画面
n04153751	スクリュー
n04154565	スクリュードライバー
n04162706	シートベルト/シートベルト
n04179913	ミシン
n04192698	シールド/バックラー
n04200800	靴ショップ/靴ショップ/靴店
n04201297	障子
n04204238	買い物かご
n04204347	ショッピングカート
n04208210	シャベル
n04209133	シャワーキャップ
n04209239	シャワーカーテン
n04228054	スキー
n04229816	スキーマスク
n04235860	寝袋
n04238763	計算尺/計算尺
n04239074	引き戸
n04243546	スロット/片腕のバンディット
n04251144	シュノーケル
n04252077	スノーモービル
n04252225	除雪機/除雪車
n04254120	ソープディスペンサー
n04254680	サッカーボール
n04254777	靴下
n04258138	太陽の皿/ソーラーコレクター/太陽炉
n04259630	ソンブレロ
n04263257	スープ皿
n04264628	スペースキー
n04265275	スペースヒーター
n04266014	スペースシャトル
n04270147	へら
n04273569	スピードボート
n04275548	蜘蛛の巣/蜘蛛の巣
n04277352	スピンドル
n04285008	車/スポーツカースポーツ
n04286575	スポットライト/スポット
n04296562	ステージ
n04310018	蒸気機関車
n04311004	鋼アーチ橋
n04311174	スチールドラム
n04317175	聴診器
n04325704	ストール
n04326547	石垣
n04328186	ストップウォッチ/ストップウォッチ
n04330267	ストーブ
n04332243	ストレーナー
n04335435	路面電車/トラム/路面電車/トロリー/トロリー車
n04336792	ストレッチャー
n04344873	スタジオソファ/デイベッド
n04346328	仏舎利塔/トープ
n04347754	潜水艦/潜水艦/サブ/ Uボート
n04350905	服のスーツ/スーツ
n04355338	日時計
n04355933	サングラス
n04356056	サングラス/サングラス/色合い
n04357314	日焼け止め/日焼け/日ブロッカー
n04366367	つり橋
n04367480	綿棒/チップでふく/モップ
n04370456	スウェットシャツ
n04371430	水泳パンツ/入浴トランク
n04371774	スイング
n04372370	スイッチ/電気スイッチ/電気スイッチ
n04376876	注射器
n04380533	電気スタンド
n04389033	タンク/軍戦​​車/装甲戦闘車両/装甲戦闘車両
n04392985	テーププレーヤー
n04398044	ティーポット
n04399382	テディベア/テディベア
n04404412	テレビ/テレビシステム
n04409515	テニスボール
n04417672	かやぶき/藁葺き屋根
n04418357	劇場カーテン/劇場のカーテン
n04423845	指ぬき
n04428191	脱穀/スラッシャー/脱穀機
n04429376	王位
n04435653	瓦屋根
n04442312	トースター
n04443257	タバコショップ/たばこ店/たばこ
n04447861	便座
n04456115	トーチ
n04458633	トーテムポール
n04461696	レッカー車/牽引車/レッカー
n04462240	玩具店
n04465501	トラクター
n04467665	トレーラートラック/トラクタートレーラー/トラック輸送リグ/リグ/連結式大型トラック/半
n04476259	トレイ
n04479046	トレンチコート
n04482393	三輪車/三輪車/三輪車
n04483307	三胴船
n04485082	三脚
n04486054	凱旋門
n04487081	トロリーバス/トロリーコーチ/人跡未踏のトロリー
n04487394	トロンボーン
n04493381	浴槽/バット
n04501370	回転ドア
n04505470	タイプライターのキーボード
n04507155	傘
n04509417	一輪車/一輪車
n04515003	アップライト/アップライトピアノ
n04517823	真空/掃除機
n04522168	花瓶
n04523525	ボールト
n04525038	ベルベット
n04525305	自動販売機
n04532106	祭服
n04532670	高架橋
n04536866	ヴァイオリン/バイオリン
n04540053	バレーボール
n04542943	ワッフル焼き型
n04548280	壁時計
n04548362	財布/札入れ/札入れ/手帳
n04550184	ワードローブ/クローゼット/プレス
n04552348	戦闘機/軍用機
n04553703	洗面台/ handbasin /洗面台/洗面/洗面洗面
n04554684	洗濯機/自動洗濯機/洗濯機
n04557648	水筒
n04560804	水差し
n04562935	給水塔
n04579145	ウイスキージャグ
n04579432	笛
n04584207	かつら
n04589890	窓網戸
n04590129	ブラインド
n04591157	ウィンザーネクタイ
n04591713	ワインボトル
n04592741	翼
n04596742	中華鍋
n04597913	木製スプーン
n04599235	ウール/ウール/ウール
n04604644	ワームフェンス/ヘビフェンス/ヘビレールフェンス/バージニアフェンス
n04606251	難破船
n04612504	ヨール
n04613696	パオ
n06359193	ウェブサイト/ウェブサイト/インターネットサイト/サイト
n06596364	漫画本
n06785654	クロスワードパズル/クロスワード
n06794110	道路標識
n06874185	交通信号灯/交通信号/ストップライト
n07248320	ブックカバー/ダストカバー/塵ジャケット/ダストラッパー
n07565083	メニュー
n07579787	プレート
n07583066	グアカモーレ
n07584110	コンソメ
n07590611	鍋/鍋
n07613480	ささいなこと
n07614500	アイスクリーム/アイスクリーム
n07615774	アイスキャンディー/キャンディー/ロリポップ/アイスキャンデー
n07684084	フランスパン
n07693725	ベーグル/ベーグル
n07695742	プレッツェル
n07697313	チーズバーガー
n07697537	ホット赤ホットドッグ/ホットドッグ/
n07711569	マッシュポテト
n07714571	ヘッドキャベツ
n07714990	ブロッコリー
n07715103	カリフラワー
n07716358	ズッキーニ/ズッキーニ
n07716906	スパゲッティスカッシュ
n07717410	ドングリスカッシュ
n07717556	ニホンカボチャ
n07718472	キュウリ/キュウリ
n07718747	アーティチョーク/地球アーティチョーク
n07720875	ピーマン
n07730033	カルドン
n07734744	キノコ
n07742313	グラニースミス
n07745940	イチゴ
n07747607	オレンジ
n07749582	レモン
n07753113	イチジク
n07753275	パイナップル/アナナス
n07753592	バナナ
n07754684	ジャックフルーツ/ JAK /ジャック
n07760859	カスタードアップル
n07768694	ザクロ
n07802026	干し草
n07831146	カルボナーラ
n07836838	チョコレートソース/チョコレートシロップ
n07860988	パン生地
n07871810	ミートローフ/ミートローフ
n07873807	ピザ/ピザパイ
n07875152	ポットパイ
n07880968	ブリトー
n07892512	赤ワイン
n07920052	エスプレッソ
n07930864	カップ
n07932039	エッグノッグ
n09193705	アルプス
n09229709	バブル
n09246464	崖/ドロップ/ドロップオフ
n09256479	サンゴ礁
n09288635	間欠泉
n09332890	湖畔/湖岸
n09399592	岬/岬/ヘッド/岬
n09421951	砂州/砂のバー
n09428293	海岸/海岸/海岸/海沿岸
n09468604	谷/谷
n09472597	火山
n09835506	野球選手/野球選手
n10148035	新郎/花婿
n10565667	スキューバダイバー
n11879895	菜種
n11939491	デイジー
n12057211	黄色アツモリソウ/黄色の女性-スリッパ/アツモリソウ属calceolus /アツモリソウ属パルビフロラム
n12144580	トウモロコシ
n12267677	ドングリ
n12620546	ヒップ/ローズヒップ/ローズヒップ
n12768682	トチノキ/マロニエ/トチの実
n12985857	サンゴ菌
n12998815	ハラタケ
n13037406	gyromitra
n13040303	スッポンタケ/腐肉菌
n13044778	クリプタンサス
n13052670	鶏の - 森/森のヘン/たpolyporus frondosus /マイタケ
n13054560	bolete
n13133613	耳/スパイク/小頭
n15075141	トイレットペーパー/トイレットペーパー/トイレットペーパー
